mean_R,mean_G,mean_B,std_R,std_G,std_B,mean_H,mean_S,mean_V,std_H,std_S,std_V,dark_ratio,high_saturation_ratio,gray_std,laplacian_var,label
211.09234619140625,167.1578369140625,160.466552734375,49.54481236849625,92.87341022469994,98.75545675405637,23.8643798828125,80.34600830078125,212.3509521484375,53.468024366388846,89.48706693628297,47.210571000890596,0.0003662109375,0.3485107421875,79.0861046919176,1576.9691979885101,freshapples
209.3277587890625,147.9261474609375,149.37127685546875,45.673965013293596,96.72178932976816,95.62011339984464,84.89404296875,94.354248046875,209.4952392578125,85.856171764986,87.90687695031158,45.82081643255903,0.0,0.4136962890625,80.50431302130876,451.4550588130951,freshapples
234.24591064453125,219.0458984375,141.6024169921875,36.36454007047164,30.167530965981207,73.37989185951693,21.70208740234375,104.9541015625,236.88031005859375,16.62167878415682,69.95289181314047,27.726218307626176,0.0,0.4595947265625,33.64997488657656,388.2764545939863,freshapples
185.46197509765625,136.35247802734375,122.92547607421875,73.95321343752815,92.39972111361519,95.71780691151943,9.98468017578125,89.19488525390625,186.23248291015625,31.434120829358417,82.61277756084178,73.7413302109699,0.10638427734375,0.3731689453125,83.48896383251814,2524.9891516231,freshapples
182.8460693359375,187.06787109375,140.30029296875,84.46081999332242,85.54745737792055,90.96919837849022,27.88818359375,56.3692626953125,187.13482666015625,18.978215873873808,70.15470312564787,85.59169244395626,0.16778564453125,0.197998046875,83.97572227241426,1065.2170902341604,freshapples
163.09893798828125,120.65191650390625,112.10626220703125,108.09557285089174,100.44090177074816,101.41872274912012,4.58026123046875,61.1307373046875,163.10693359375,13.723030316390442,78.32194081875485,108.1022647736434,0.28814697265625,0.238037109375,99.30793164851075,1198.0597181878984,freshapples
222.99139404296875,227.10357666015625,171.02716064453125,36.203519320522,31.332622446820537,85.00998437506853,19.52520751953125,72.59735107421875,227.89996337890625,19.17189981485003,75.0120794003832,30.575219665864157,0.0,0.294921875,38.283511456575745,98.14282225072384,freshapples
217.74151611328125,214.83099365234375,165.14471435546875,48.304824797090376,49.201904992799165,89.98135924924884,20.52349853515625,75.0806884765625,218.92266845703125,25.64811856461957,77.44420060368103,46.05311305947663,0.00341796875,0.30029296875,52.339638042316174,270.5347900390625,freshapples
219.95703125,168.7037353515625,158.1199951171875,23.054214601956968,71.80925743816452,78.33998003120143,8.30316162109375,76.48199462890625,219.96746826171875,18.541900521928422,80.89578614392326,23.063018261166743,6.103515625e-05,0.28607177734375,55.99995985146769,1121.1973212324083,freshapples
172.3818359375,183.977294921875,122.12261962890625,79.44865601460965,81.89231595937659,82.33416491930167,27.3077392578125,77.480712890625,184.08050537109375,19.726747181471683,65.27591767864058,81.97081211566407,0.15338134765625,0.17913818359375,79.624710271026,1496.2011408656836,freshapples
181.56097412109375,117.3511962890625,118.8037109375,74.04460452921559,96.63194724596988,95.87274851138555,86.7135009765625,98.58624267578125,181.6815185546875,86.51717322610658,87.55282311073151,74.15399072911293,0.09918212890625,0.43255615234375,86.59539929914898,2326.312686905265,freshapples
206.42401123046875,219.617431640625,157.78662109375,48.00747329643687,36.95055658152906,84.09285799827099,24.3099365234375,82.1512451171875,219.66009521484375,19.451418321114836,71.76819816930904,36.89372213268044,0.0,0.29449462890625,44.9379548107746,437.6153564453125,freshapples
171.853759765625,115.429443359375,101.265380859375,82.67932969085918,88.03112396424858,90.37094174601688,5.92413330078125,98.2852783203125,171.86358642578125,11.73807962517372,83.34565865403712,82.68905307985837,0.1573486328125,0.451171875,83.23368322707262,2845.6660234592855,freshapples
176.0474853515625,135.73834228515625,123.76605224609375,87.25167506016976,94.60780257561436,95.80073984715274,25.08624267578125,77.13848876953125,180.058837890625,54.09490377518206,78.84447797461104,86.36497067212133,0.154541015625,0.24017333984375,88.36869997268148,3243.251451358199,freshapples
